Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Epernay;Epernay France;49.043411;3.956242;1200;intersyndicale;1200;;;;;https://www.lunion.fr/id472573/article/2023-04-06/contre-la-reforme-des-retraites-1-200-manifestants-epernay
Privas;Privas France;44.735269;4.599039;;;1000;;;;;https://www.francebleu.fr/infos/economie-social/en-direct-suivez-la-11e-journee-de-mobilisation-retraites-en-drome-et-en-ardeche-6958500
Alençon;Alençon France;48.432856;0.091266;1500;;;;;;;https://actu.fr/normandie/alencon_61001/acte-11-contre-la-reforme-des-retraites-1-500-manifestants-a-alencon_58731166.html
Saint-Lô;Saint-Lô France;49.1154686;-1.0828136;;;;825;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-barrages-filtrants-a-cherbourg-six-corteges-prevus-dans-la-manche-7d2477e0-d37f-11ed-8669-5c45fd74f594
Guingamp;Guingamp France;48.561864;-3.151869;;;;900;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/video-reforme-des-retraites-entre-800-et-1-000-personnes-manifestent-a-guingamp-891c07c3-30db-44b1-8f44-c7393d086ce0
Coutances;Coutances France;49.047808;-1.4452609;;;;750;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-barrages-filtrants-a-cherbourg-six-corteges-prevus-dans-la-manche-7d2477e0-d37f-11ed-8669-5c45fd74f594
Abbeville;Abbeville France;50.105467;1.836833;;;;1000;France 3;;;https://france3-regions.francetvinfo.fr/hauts-de-france/nord-0/reforme-des-retraites-blocages-des-routes-et-des-lycees-a-valenciennes-et-a-lille-suivez-la-11e-journee-de-mobilisation-2748302.html
Châlons-en-Champagne;Châlons-en-Champagne France;48.956682;4.363073;;;;;;;;
Fontenay-le-Comte;Fontenay-le-Comte France;46.465972;-0.8065;;;;;;;;
Argentan;Argentan France;48.744001;-0.016566;;;;;;;;
Saint-Jean-de-Maurienne;Saint-Jean-de-Maurienne France;45.275403;6.344886;;;;;;;;
Bar-le-Duc;Bar-le-Duc France;48.773605;5.158238;;;;;;;;
Beaune;Beaune France;47.0260;4.840004;;;;;;;;
Chalon-sur-Saône;Chalon-sur-Saône France;46.780764;4.853947;4000;intersyndicale;2200;;;;;https://www.lejsl.com/societe/2023/04/06/suivez-le-11e-tour-des-manifestations-en-saone-et-loire
Cherbourg;Cherbourg France;49.6423;-1.62551;;;4500;6000;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-barrages-filtrants-a-cherbourg-six-corteges-prevus-dans-la-manche-7d2477e0-d37f-11ed-8669-5c45fd74f594
Quimperlé;Quimperlé France;47.872586;-3.547546;;;;;;;;
Roanne;Roanne France;46.034432;4.072695;6500;syndicats;2600;;;;;https://www.leprogres.fr/social/2023/04/06/reforme-des-retraites-c-est-parti-pour-la-11e-mobilisation-a-saint-etienne-et-roanne
Alès;Alès France;44.127204;4.083352;;;3000;;;;;https://france3-regions.francetvinfo.fr/occitanie/herault/montpellier/direct-greve-du-6-avril-contre-la-reforme-des-retraites-des-blocages-a-montpellier-et-nimes-en-attendant-les-manifestations-2748210.html
Pontivy;Pontivy France;48.066152;-2.967056;2500;intersyndicale;1300;;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-manifestations-blocages-la-situation-a-lorient-vannes-pontivy-ac7c8694-d236-11ed-96ad-1942048996da
Dieppe;Dieppe France;49.922992;1.077483;;;1500;1800;;;;
Rochefort;Rochefort France;45.936698;-0.961697;;;;1500;Sud Ouest;;;https://www.sudouest.fr/economie/social/greve/direct-greve-du-6-avril-en-charente-maritime-suivez-les-temps-forts-de-la-mobilisation-14704022.php
Saint-Quentin;Saint-Quentin France;49.847066;3.2874;;;;;;;;
Dole;Dole France;47.09534;5.49081;1500;;1350;;;;;https://www.leprogres.fr/social/2023/04/06/reformes-des-retraites-nouvelle-journee-dans-la-rue-a-dole-et-saint-claude
Montargis;Montargis France;47.99729;2.736291;1600;CGT;;;;;;
Sens;Sens France;48.20065;3.28268;;;;1100;L'Yonne républicaine;;;https://www.lyonne.fr/sens-89100/actualites/1-100-personnes-defilent-ce-jeudi-a-sens-contre-la-reforme-des-retraites_14290376/
Châtellerault;Châtellerault France;46.816487;0.548146;;;1300;1450;;;;https://www.centre-presse.fr/article-879477-reforme-des-retraites-mobilisation-en-baisse-a-chatellerault-avec-manifestants.html
Cambrai;Cambrai France;50.173538;3.236633;;;;700;La Voix du Nord;;;https://www.lavoixdunord.fr/1312734/article/2023-04-06/reforme-des-retraites-une-nouvelle-journee-de-mobilisation-cambrai
Saint-Pierre, La Réunion;Saint-Pierre, La Réunion France;-21.3408775;55.4776663;;;;;;;;
Bagnols-sur-Cèze;Bagnols-sur-Cèze France;44.16252;4.620075;;;900;;;;;https://france3-regions.francetvinfo.fr/occitanie/herault/montpellier/direct-greve-du-6-avril-contre-la-reforme-des-retraites-des-blocages-a-montpellier-et-nimes-en-attendant-les-manifestations-2748210.html
Colmar;Colmar, France;48.0793589;7.358512;;;800;;;;;https://www.lalsace.fr/social/2023/04/06/reforme-des-retraites-suivez-la-11e-journee-de-mobilisation-dans-le-haut-rhin
Romorantin;Romorantin France;47.3725911;1.7018261;;;;;;;;
Cannes;Cannes France;43.552847;7.017369;;;;;;;;
Pithiviers;Pithiviers France;48.173423;2.255849;400;;;;;;;
Verdun;Verdun France;49.1598764;5.3844231;;;375;;;;350 à 400 selon la police.;https://www.estrepublicain.fr/social/2023/04/06/reforme-des-retraites-en-meurthe-et-moselle-et-en-meuse-suivez-avec-nous-cette-nouvelle-journee-d-action
Granville;Granville France;48.837579;-1.597302;;;;700;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-barrages-filtrants-a-cherbourg-six-corteges-prevus-dans-la-manche-7d2477e0-d37f-11ed-8669-5c45fd74f594
Ussel;Ussel France;45.548905;2.313835;;;;;;;;
