Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Vierzon;Vierzon France;47.221438;2.069791;5400;;2500;;;;https://www.leberry.fr/bourges-18000/actualites/reforme-des-retraites-suivez-les-manifestations-dans-le-cher-direct_14255018/
Angoulême;Angoulême France;45.648377;0.1562369;13500;intersyndicale;8500;;;entre 12000 et 15000 manifestants selon les syndicats;https://www.charentelibre.fr/manifestation-contre-la-reforme-des-retraites-le-cortege-angoumoisin-deja-bien-garni-direct-13883993.php
Verdun;Verdun France;49.1598764;5.3844231;;;1200;;;;https://www.estrepublicain.fr/social/2023/01/31/greve-contre-la-reforme-des-retraites-en-lorraine-suivez-la-journee-de-mobilisation
Belfort;Belfort France;47.639674;6.863849;6000;;;;;;https://www.estrepublicain.fr/social/2023/01/31/greve-contre-la-reforme-des-retraites-en-franche-comte-suivez-la-journee-de-mobilisation
Bourgoin-Jallieu;Bourgoin-Jallieu France;45.597108;5.27212;;;3500;;;;https://www.ledauphine.com/social/2023/01/31/greves-et-manifestations-en-isere-suivez-la-mobilisation-contre-la-reforme-des-retraites
Lannion;Lannion France;48.732084;-3.459144;8000;intersyndicale;7100;;;;https://www.letelegramme.fr/cotes-darmor/lannion/reforme-des-retraites-a-lannion-la-mobilisation-prend-de-d-ampleur-31-01-2023-13269797.php
Pau;Pau France;43.2951;-0.370797;19000;intersyndicale;;18500;Sud Ouest;;https://www.sudouest.fr/pyrenees-atlantiques/pau/direct-greve-du-31-janvier-a-pau-des-milliers-de-personnes-dans-la-rue-13883609.php
Tarbes;Tarbes France;43.232951;0.078082;16000;;7500;;;;https://france3-regions.francetvinfo.fr/occitanie/haute-garonne/toulouse/direct-greve-contre-la-reforme-des-retraites-toulouse-tarbes-cahors-montauban-suivez-la-mobilisation-en-midi-pyrenees-2704882.html
Abbeville;Abbeville France;50.105467;1.836833;3500;CGT;;;;;https://www.courrier-picard.fr/id383898/article/2023-01-31/hauts-de-france-suivez-en-direct-les-manifestations-contre-la-reforme-des
Mulhouse;Mulhouse France;47.750839;7.335888;;;7500;;;;https://www.dna.fr/social/2023/01/31/haut-rhin-la-mobilisation-contre-la-reforme-des-retraites
Bayonne;Bayonne France;43.492949;-1.474841;17000;intersyndicale;;10000;Sud Ouest;;https://www.sudouest.fr/pyrenees-atlantiques/bayonne/direct-greve-du-31-janvier-a-bayonne-des-milliers-de-manifestants-dans-la-rue-13883583.php
Agen;Agen France;44.203142;0.616363;6500;intersyndicale;4800;;;;https://www.sudouest.fr/economie/reforme-des-retraites/reformes-des-retraites-forte-mobilisation-a-agen-13884059.php
Mont-de-Marsan;Mont-de-Marsan France;43.893485;-0.499782;7000;intersyndicale;5100;;;;https://www.sudouest.fr/economie/reforme-des-retraites/manifestation-contre-la-reforme-des-retraites-des-milliers-d-opposants-rassembles-a-mont-de-marsan-13883700.php
Vesoul;Vesoul France;47.619788;6.15428;;;3900;;;;https://www.estrepublicain.fr/social/2023/01/31/greve-contre-la-reforme-des-retraites-en-franche-comte-suivez-la-journee-de-mobilisation
Valenciennes;Valenciennes France;50.357113;3.518332;6500;;6000;;;;https://www.lavoixdunord.fr/1285500/article/2023-01-31/direct-reforme-des-retraites-les-syndicats-esperent-une-mobilisation-encore-plus
