Ville;adresse_full;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Tarbes;Tarbes France;8000;;3200;;;;https://www.ladepeche.fr/2023/02/16/direct-reforme-des-retraites-manifestations-greve-debats-suivez-la-nouvelle-journee-de-mobilisation-du-16-fevrier-11001326.php
Annecy;Annecy France;10000;;4000;;Le Dauphiné;;https://www.ledauphine.com/social/2023/02/11/greves-et-manifs-en-pays-de-savoie-suivez-la-mobilisation-de-ce-samedi-11-fevrier
Saint-Brieuc;Saint-Brieuc France;4000;;3600;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-les-manifestations-du-16-fevrier-a-saint-brieuc-lannion-aa68e1f0-ad46-11ed-a71b-f0de2f009cfe
Poitiers;Poitiers France;5000;;3000;;;;https://france3-regions.francetvinfo.fr/nouvelle-aquitaine/vienne/poitiers/manifestation-contre-la-reforme-des-retraites-a-poitiers-le-defile-part-symboliquement-de-la-permanence-du-depute-sacha-houlie-2715578.html
Le Puy-en-Velay;Le Puy-en-Velay France;5500;CGT;2600;;Le Progrès;;https://www.leprogres.fr/social/2023/02/16/retraites-suivez-la-manifestation-du-puy-en-velay
Valenciennes;Valenciennes France;4000;;;3000;Voix du Nord;;https://www.lavoixdunord.fr/1292214/article/2023-02-16/direct-retraites-cinquieme-journee-de-mobilisation-avant-un-vote-toujours
Besançon;Besançon France;4000;;3000;;L'Est Républicain;;https://www.estrepublicain.fr/social/2023/02/16/reforme-des-retraites-suivez-cette-nouvelle-journee-de-mobilisation-en-franche-comte
Angers;Angers France;3000;;2500;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-16-fevrier-contre-la-reforme-des-retraites-les-manifestations-en-maine-et-loire-80a72a4a-ad03-11ed-a71b-f0de2f009cfe
Morlaix;Morlaix France;3750;;2200;;;Entre 3500 et 4000 selon les syndicats;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-jeudi-16-fevrier-suivez-les-manifestations-a-brest-quimper-445fef22-ad35-11ed-a71b-f0de2f009cfe
Châteauroux;Châteauroux France;;;;3000;La Nouvelle République;;https://www.lanouvellerepublique.fr/indre/manifestation-contre-la-retraite-a-64-ans-3-000-manifestants-a-chateauroux
La Roche-sur-Yon;La Roche-sur-Yon France;;;;;;;
Chalon-sur-Saône;Chalon-sur-Saône France;4000;;3600;;Le journal de Saône-et-Loire;;https://www.lejsl.com/social/2023/02/16/saone-et-loire-nouveau-coup-de-pression-sur-le-projet-de-reforme-des-retraites
Angoulême;Angoulême France;;;;;;;
Laval;Laval France;;;;;;;
Tulle;Tulle France;4500;;1000;1000;La Montagne;;https://www.lamontagne.fr/tulle-19000/actualites/a-tulle-une-mobilisation-moindre-pour-l-acte-5-contre-la-reforme-des-retraites_14263717/
Charleville-Mézières;Charleville-Mézières France;3200;;2500;;L'Union;;https://www.lunion.fr/id456925/article/2023-02-16/charleville-mezieres-cinquieme-round-contre-la-reforme-des-retraites-ce-jeudi-16
Perpignan;Perpignan France;5000;;3500;;L'indépendant;;https://www.lindependant.fr/2023/02/16/reforme-des-retraites-plus-de-5000-personnes-dans-la-rue-de-perpignan-ce-jeudi-matin-11003198.php
Lannion;Lannion France;4000;Intersyndicale;2700;;Le Télégramme;;https://www.letelegramme.fr/cotes-darmor/lannion/a-lannion-plusieurs-milliers-de-personnes-toujours-mobilisees-contre-la-reforme-des-retraites-16-02-2023-13280455.php
Niort;Niort France;;;;3000;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-retraites-suivez-la-mobilisation-de-ce-16-fevrier-a-thouars-niort-bressuire-parthenay-2f654264-ac51-11ed-b6e3-38da84828b93
Beauvais;Beauvais France;10500;Intersyndicale;;;;;
Montauban;Montauban France;7000;;1400;;;;https://www.ladepeche.fr/2023/02/16/direct-reforme-des-retraites-manifestations-greve-debats-suivez-la-nouvelle-journee-de-mobilisation-du-16-fevrier-11001326.php
Annonay;Annonay France;5000;;1700;;;;https://www.francebleu.fr/infos/economie-social/reforme-des-retraites-suivez-la-5e-journee-de-mobilisation-en-drome-et-en-ardeche-8684625
Montélimar;Montélimar France;5500;;2000;;;;https://www.ledauphine.com/social/2023/02/16/greves-et-manifs-dans-la-drome-et-l-ardeche-de-montelimar-au-cheylard-la-ville-et-la-ruralite-battent-le-pave
Calais;Calais France;3300;Intersyndicale;2000;;;;https://www.lavoixdunord.fr/1292214/article/2023-02-16/direct-retraites-cinquieme-journee-de-mobilisation-avant-un-vote-toujours
Epinal;Epinal France;5000;Intersyndicale;2500;;;;https://www.estrepublicain.fr/social/2023/02/16/reforme-des-retraites-suivez-cette-nouvelle-journee-de-mobilisation-en-lorraine
Roanne;Roanne France;8000;Intersyndicale;3100;;Le Progrès;;https://www.leprogres.fr/societe/2023/02/16/retraites-suivez-les-manifestations-a-saint-etienne-et-roanne
Saint-Quentin;Saint-Quentin France;;;;;;;
Bourges;Bourges France;3500;CGT;2000;;Le Berry Républicain;;https://www.leberry.fr/bourges-18000/actualites/reforme-des-retraites-suivez-la-cinquieme-journee-de-mobilisation-dans-le-cher-en-direct_14263035/
Reims;Reims France;1000;LO;;1000;L'Union;;https://www.lunion.fr/id456905/article/2023-02-16/mobilisation-en-baisse-contre-la-reforme-des-retraites-reims
Périgueux;Périgueux France;4000;;1950;2350;Sud Ouest;;https://www.sudouest.fr/economie/reforme-des-retraites/greve-du-16-fevrier-a-perigueux-suivez-la-mobilisation-dans-votre-ville-14080617.php
Douai;Douai France;3500;CGT;2500;;;;https://www.lavoixdunord.fr/1292214/article/2023-02-16/direct-retraites-cinquieme-journee-de-mobilisation-avant-un-vote-toujours
Bourg-en-Bresse;Bourg-en-Bresse France;;;;3000;Le Progrès;;https://www.leprogres.fr/social/2023/02/16/reforme-des-retraites-suivez-le-cortege-dans-les-rues-de-bourg-en-bresse
Alès;Alès France;;;;2500;Midi Libre;;https://www.midilibre.fr/2023/02/16/direct-reforme-des-retraites-suivez-les-temps-forts-de-cette-cinquieme-journee-de-greves-et-de-manifestations-11002831.php
Ancenis;Ancenis France;;;;;;;
Montluçon;Montluçon France;;;;;;;
Béziers;Béziers France;7000;;2500;;;;https://docs.google.com/spreadsheets/d/1rmAwzVVeJqbgE9RKKMp3nEhYdaDGdZxnAf3vSeJlGfs/edit#gid=2057909371
Mulhouse;Mulhouse France;2500;;;2500;Dernières Nouvelles d'Alsace;2500 à 3000 selon les DNA;https://www.dna.fr/social/2023/02/16/reformes-des-retraites-cinquieme-journee-de-mobilisation-dans-le-haut-rhin
Figeac;Figeac France;;;;;;;
Compiègne;Compiègne France;;;;;;;
Boulogne-sur-Mer;Boulogne-sur-Mer France;3000;Intersyndicale;1200;;;;https://www.lavoixdunord.fr/1292214/article/2023-02-16/direct-retraites-cinquieme-journee-de-mobilisation-avant-un-vote-toujours
Digne-les-Bains;Digne-les-Bains France;;;;;;;
Mont-de-Marsan;Mont-de-Marsan France;2750;CGT;;;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-16-fevrier-suivez-les-temps-forts-de-la-mobilisation-14072187.php
Dieppe;Dieppe France;;;1800;;;;https://www.paris-normandie.fr/id388769/article/2023-02-16/direct-reforme-des-retraites-en-normandie-une-cinquieme-journee-de-mobilisation
Vierzon;Vierzon France;3200;CGT;1550;1700;Le Berry Républicain;;https://www.leberry.fr/bourges-18000/actualites/reforme-des-retraites-suivez-la-cinquieme-journee-de-mobilisation-dans-le-cher-en-direct_14263035/
Albertville;Albertville France;3000;;1200;;Le Dauphiné Libéré;;https://www.ledauphine.com/social/2023/02/11/greves-et-manifs-en-pays-de-savoie-suivez-la-mobilisation-de-ce-samedi-11-fevrier
Alençon;Alençon France;2500;;1200;;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-les-manifestations-du-16-fevrier-a-alencon-et-argentan-e7d4cff2-ad57-11ed-a71b-f0de2f009cfe
Montbéliard;Montbéliard France;;;;;;;
Moulins;Moulins France;;;;;;;
Aubenas;Aubenas France;2500;;1500;;;;https://www.ledauphine.com/social/2023/02/16/greves-et-manifs-dans-la-drome-et-l-ardeche-de-montelimar-au-cheylard-la-ville-et-la-ruralite-battent-le-pave
Bagnols-sur-Cèze;Bagnols-sur-Cèze France;;;;;;;
Cahors;Cahors France;;;;;;;
Bourgoin-Jallieu;Bourgoin-Jallieu France;2200;Intersyndicale;1500;;;;https://www.ledauphine.com/social/2023/02/16/greves-et-manifestations-en-isere-suivez-la-mobilisation-contre-la-reforme-des-retraites
Agen;Agen France;3000;Intersyndicale;1450;;;;https://www.sudouest.fr/economie/reforme-des-retraites/greve-du-16-fevrier-a-agen-suivez-la-mobilisation-dans-votre-ville-14080021.php
Dole;Dole France;1900;CGT;1800;;Le Progrès;;https://www.leprogres.fr/social/2023/02/16/reforme-des-retraites-2-000-personnes-a-dole-plus-de-400-a-saint-claude
Vichy;Vichy France;;;;;;;
Châtellerault;Châtellerault France;;;;2300;La Nouvelle République;;https://www.lanouvellerepublique.fr/vienne/reforme-des-retraites-2-300-manifestants-a-chatellerault-jeudi-16-fevrier
Carcassonne;Carcassonne France;3000;;2500;;L'indépendant;;https://www.lindependant.fr/2023/02/16/aude-nouvelle-mobilisation-contre-la-reforme-des-retraites-moins-de-3-000-manifestants-a-narbonne-11003579.php
Castres;Castres France;;;;;;;
Rodez;Rodez France;2500;;1000;;Centre Presse Aveyron;;https://www.centrepresseaveyron.fr/2023/02/16/reforme-des-retraites-a-rodez-on-veut-maintenir-la-pression-jusquau-7-mars-11003485.php
Draguignan;Draguignan France;1200;Intersyndicale;750;;;;https://www.nicematin.com/greve-mouvements-sociaux/greve-contre-la-reforme-des-retraites-les-corteges-deambulent-a-nice-et-draguignan-les-deputes-pcf-retirent-leurs-amendements-suivez-cette-journee-en-direct-828607
Arles;Arles France;1500;CGT;;;;;https://www.laprovence.com/article/region/175606008461916/direct-laprovence-reforme-des-retraites-cinq-corteges-en-provence-perturbations-dans-les-transports-toutes-nos-infos
Saint-Malo;Saint-Malo France;1400;CGT;;;;;
Vesoul;Vesoul France;;;;;;;
Narbonne;Narbonne France;3000;CGT;;;L'indépendant;;https://www.lindependant.fr/2023/02/16/aude-nouvelle-mobilisation-contre-la-reforme-des-retraites-moins-de-3-000-manifestants-a-narbonne-11003579.php
Lisieux;Lisieux France;;;;;;;
Saint-Lô;Saint-Lô France;;;;;;;
Montargis;Montargis France;1350;CGT;900;;La République du Centre;1200 à 1500 selon la CGT;https://www.larep.fr/orleans-45000/actualites/reforme-des-retraites-suivez-en-direct-la-cinquieme-journee-de-mobilisation-dans-le-loiret_14263026/
Sète;Sète France;2750;;1500;;;2 500 à 3 000 selon les syndicats;https://france3-regions.francetvinfo.fr/occitanie/herault/montpellier/direct-greve-du-16-fevrier-contre-la-reforme-des-retraites-jean-luc-melenchon-attendu-dans-la-manifestation-a-montpellier-2715178.html
Carhaix;Carhaix France;1300;CGT;750;;;700 à 800 selon la police;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-jeudi-16-fevrier-suivez-les-manifestations-a-brest-quimper-445fef22-ad35-11ed-a71b-f0de2f009cfe
Bergerac;Bergerac France;900;Intersyndicale;;;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-16-fevrier-suivez-les-temps-forts-de-la-mobilisation-14072187.php
Sens;Sens France;;;;;;;
Chateaubriant;Chateaubriant France;;;;;;;
Laon;Laon France;;;;;;;
Aurillac;Aurillac France;1000;;920;;La Montagne;;https://www.lamontagne.fr/aurillac-15000/actualites/garder-des-forces-pour-le-7-mars-la-mobilisation-contre-la-reforme-des-retraites-diminue-a-aurillac_14263740/
Coutances;Coutances France;;;;;;;
Romorantin;Romorantin France;800;;700;720;La Nouvelle République;;https://www.lanouvellerepublique.fr/vendome/reforme-des-retraites-1-500-personnes-manifestent-a-vendome-et-720-a-romorantin
Fougères;Fougères France;;;;;;;
Mende;Mende France;;;;;;;
Thouars;Thouars France;;;;800;La Nouvelle République;;https://www.lanouvellerepublique.fr/deux-sevres/deux-sevres-thouars-ouvre-la-journee-de-manifestations-contre-la-reforme-des-retraites?queryId%5Bquery1%5D=57cd2206459a452f008b4594&queryId%5Bquery2%5D=57c95b34479a452f008b459d&page=0&pageId=57da5ce0459a4552008b456f
Gien;Gien France;;;350;250;La République du Centre;;https://www.larep.fr/orleans-45000/actualites/reforme-des-retraites-suivez-en-direct-la-cinquieme-journee-de-mobilisation-dans-le-loiret_14263026/
Granville;Granville France;;;;;;;
Mamoudzou;Mamoudzou France;;;;;;;
Chambéry;Chambéry France;10000;;6500;;Le Dauphiné Libéré;;https://www.ledauphine.com/social/2023/02/11/greves-et-manifs-en-pays-de-savoie-suivez-la-mobilisation-de-ce-samedi-11-fevrier
Evreux;Evreux France;;;;;;;
Toulon;Toulon France;5000;Intersyndicale;2300;;Var-Matin;;https://www.varmatin.com/politique/jaurais-du-voter-blanc-plutot-que-macron-regrette-une-manifestante-contre-la-reforme-des-retraites-a-toulon-828734
Troyes;Troyes France;;;;;;;
Verdun;Verdun France;;;;;;;
Dunkerque;Dunkerque France;4000;CGT;1700;;;;https://www.lavoixdunord.fr/1292214/article/2023-02-16/direct-retraites-cinquieme-journee-de-mobilisation-avant-un-vote-toujours
Nevers;Nevers France;;;;;;;
Cholet;Cholet France;;;1800;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-16-fevrier-contre-la-reforme-des-retraites-les-manifestations-en-maine-et-loire-80a72a4a-ad03-11ed-a71b-f0de2f009cfe
Dinan;Dinan France;;;;;;;
