Ville;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Annecy;45.899247;6.129384;3000;;1400;;;;;https://www.ledauphine.com/social/2023/03/11/manifestations-chambery-annecy-albertville-thonon-cluses-en-pays-de-savoie-ce-samedi-contre-la-reforme-des-retraites#1e204256-e45f-41c1-a820-20c16ee6cca8
Bourges;47.081012;2.398782;3500;;;;;;;https://www.leberry.fr/bourges-18000/actualites/reforme-des-retraites-suivez-en-direct-la-septieme-journee-de-mobilisation-ce-samedi-dans-le-cher_14275809/
Alès;44.127204;4.083352;4000;;2000;;;;;https://www.midilibre.fr/2023/03/11/greve-du-11-mars-a-ales-un-cortege-plus-petit-mais-toujours-determine-contre-la-reforme-des-retraites-11054742.php
Mont-de-Marsan;43.893485;-0.499782;;;;;;;;
Aubenas;44.620909;4.389863;;;;;;;;
Boulogne-sur-Mer;50.725231;1.613334;3750;intersyndicale;1300;;;;3500 à 4000 selon l'intersyndicale.;https://www.lavoixdunord.fr/1301475/article/2023-03-11/direct-reforme-des-retraites-nouvelle-journee-de-manifestations-ce-samedi-11
Montbéliard;47.510356;6.798466;;;;;;;;
Bourgoin-Jallieu;45.597108;5.27212;1200;;1000;;;;;https://www.ledauphine.com/social/2023/03/11/greves-et-manifestations-en-isere-suivez-la-mobilisation-de-ce-samedi
Evreux;49.027013;1.151361;;;;;;;;
Pontivy;48.066152;-2.967056;;;;;;;;
Auch;43.64638;0.586709;;;;;;;;
Agen;44.203142;0.616363;800;;1000;;;;;https://www.sudouest.fr/economie/reforme-des-retraites/reforme-des-retraites-800-000-personnes-attendues-dans-la-rue-ce-samedi-vers-un-durcissement-du-mouvement-14376255.php
Dieppe;49.922992;1.077483;;;750;;;;;https://www.paris-normandie.fr/id395358/article/2023-03-11/direct-greve-du-11-mars-contre-la-reforme-des-retraites-de-nombreuses
Belfort;47.639674;6.863849;2000;UNSA;1100;;;;;https://www.estrepublicain.fr/social/2023/03/11/reforme-des-retraites-en-franche-comte-suivez-cette-nouvelle-journee-de-greve
Rochefort;45.936698;-0.961697;1800;intersyndicale;1100;;;;;https://www.francebleu.fr/infos/societe/reforme-des-retraites-entre-1-700-et-2-800-manifestants-en-charente-dans-les-quatre-corteges-ce-matin-3037965
Saint-Quentin;49.847066;3.2874;1500;;;;;;;https://www.aisnenouvelle.fr/id395409/article/2023-03-11/video-nouvelle-mobilisation-contre-la-reforme-des-retraites-dans-les-rues-de
Arles;43.676647;4.6277769;;;;;;;;
Saintes;45.744175;-0.633389;;;;;;;;
Gap;44.566667;6.083333;2000;;1300;;https://www.ledauphine.com/social/2023/03/11/greves-et-manifestations-dans-alpes-du-sud-suivez-la-mobilisation-de-ce-samedi;;;
Beauvais;49.4295387;2.0807123;;;;;;;;
Dole;47.09534;5.49081;1200;;1200;;;;;https://www.leprogres.fr/social/2023/03/11/reforme-des-retraites-trois-manifestations-a-dole-lons-et-saint-claude-ce-samedi-matin
Montargis;47.99729;2.736291;;;;;;;;
Dinan;48.454366;-2.047327;1500;;1000;;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-la-manifestation-du-11-mars-a-saint-brieuc-lannion-et-dinan-ee09856a-bf5f-11ed-8b0a-102ab124256a
Mâcon;46.3068839;4.828730999999999;2000;;1000;;;;;https://www.lejsl.com/social/2023/03/11/suivez-en-direct-la-nouvelle-journee-de-manifestations-en-saone-et-loire-contre-la-reforme-des-retraites
Tulle;45.26565;1.771697;2000;CGT;;;;;;https://www.lamontagne.fr/tulle-19000/actualites/en-correze-des-manifestants-moins-nombreux-que-le-premier-samedi-de-mobilisation-mais-determines_14275854/
Albertville;45.675535;6.392726;1200;CGT;700;;;;;https://www.ledauphine.com/social/2023/03/11/manifestations-chambery-annecy-albertville-thonon-cluses-en-pays-de-savoie-ce-samedi-contre-la-reforme-des-retraites
Sens;48.20065;3.28268;800;;600;650;L'Yonne Républicaine;;;https://www.lyonne.fr/auxerre-89000/actualites/suivez-en-direct-la-mobilisation-contre-la-reforme-des-retraites-de-ce-samedi-a-auxerre_14275211/
Annonay;45.239403;4.667349;2000;;2000;;;;;https://www.francebleu.fr/infos/politique/en-direct-suivez-la-7e-journee-contre-la-reforme-des-retraites-en-drome-et-en-ardeche-3839781
Vierzon;47.221438;2.069791;1600;;1100;1300;Le Berry Républicain;;;https://www.leberry.fr/bourges-18000/actualites/reforme-des-retraites-suivez-en-direct-la-septieme-journee-de-mobilisation-ce-samedi-dans-le-cher_14275809/
Vichy;46.131859;3.425488;1250;;;;;;Entre 1000 et 1500 personnes selon l'intersyndicale.;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/septieme-journee-de-mobilisation-contre-la-reforme-un-million-de-manifestants-attendus-ce-samedi-suivez-notre-direct_14275828/
Châtellerault;46.816487;0.548146;;;;;;;;
Draguignan;43.5377269;6.464993;1000;intersyndicale;650;;;;Entre 600 et 700 personnes selon la police.;https://www.nicematin.com/greve-mouvements-sociaux/manifestations-contre-la-reforme-des-retraites-les-premiers-chiffres-de-la-mobilisation-dans-le-var-le-cortege-a-mi-parcours-a-nice-suivez-cette-journee-de-mobilisation-en-direct-833905
Sète;43.4078758;3.7008219;;;1500;;;;;https://www.midilibre.fr/2023/03/11/greve-du-11-mars-contre-la-reforme-des-retraites-mobilisation-slogans-images-suivez-la-manifestation-en-direct-11054699.php
Privas;44.735269;4.599039;;;1000;;;;;https://www.francebleu.fr/infos/politique/en-direct-suivez-la-7e-journee-contre-la-reforme-des-retraites-en-drome-et-en-ardeche-3839781
Alençon;48.432856;0.091266;1600;;950;;;;;https://www.ouest-france.fr/economie/retraites/manifestation-du-11-mars-dans-les-rues-dalencon-950-personnes-bravent-le-froid-9cc4852a-bff9-11ed-aa33-59ea232e8c60
Saint-Lô;49.1154686;-1.0828136;;;;;;;;
Arras;50.291002;2.777535;;;;;;;;
Vendôme;47.792551;1.065343;1000;;800;;;;;https://www.lanouvellerepublique.fr/vendome/greve-du-11-mars-les-manifestants-encore-presents-a-vendome-et-romorantin
Guingamp;48.561864;-3.151869;;;;;;;;
Châlons-en-Champagne;48.956682;4.363073;600;;;;;;;https://france3-regions.francetvinfo.fr/grand-est/champagne-ardenne/en-images-les-manifestations-contre-la-reforme-des-retraites-se-poursuivent-a-chalons-reims-et-troyes-ce-samedi-11-mars-2730654.html
Cambrai;50.173538;3.236633;;;;;;;;
Saint-Pierre, La Réunion;-21.3408775;55.4776663;;;;;;;;
Carhaix;48.275584;-3.574188;1000;CGT;550;;;;500 à 600 selon la gendarmerie;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-11-mars-des-rassemblements-dans-les-grandes-villes-du-finistere-70aaafbe-bf63-11ed-8b0a-102ab124256a
Mende;44.517611;3.501873;;;;;;;;
Argentan;48.744001;-0.016566;500;;430;;;;;https://www.ouest-france.fr/economie/retraites/manifestation-du-11-mars-mobilisation-en-baisse-a-argentan-mais-les-syndicats-ne-lachent-rien-e90b5692-bffa-11ed-aa33-59ea232e8c60
Brive;45.159555;1.533937;4000;;1300;;;;;https://www.lamontagne.fr/tulle-19000/actualites/en-correze-des-manifestants-moins-nombreux-que-le-premier-samedi-de-mobilisation-mais-determines_14275854/
Bagnols-sur-Cèze;44.16252;4.620075;;;;;;;;
Coutances;49.047808;-1.4452609;;;;;;;;
Colmar;48.0793589;7.358511999999999;;;600;;;;;https://www.dna.fr/social/2023/03/11/reforme-des-retraites-suivez-la-mobilisation-dans-le-haut-rhin-en-direct
Romorantin;47.3725911;1.7018261;600;;400;550;La Nouvelle République;;;https://www.lanouvellerepublique.fr/vendome/greve-du-11-mars-les-manifestants-encore-presents-a-vendome-et-romorantin
Bar-le-Duc;48.773605;5.158238;;;;;;;;
Cannes;43.552847;7.017369;;;;;;;;
Fontenay-le-Comte;46.465972;-0.8065;;;;;;;;
Pithiviers;48.173423;2.255849;;;;;;;;
Verdun;49.1598764;5.3844231;;;;;;;;
Granville;48.837579;-1.597302;;;600;;;;;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-11-mars-granville-et-cherbourg-ouvrent-le-bal-des-rassemblements-ce-matin-1a40a4c2-bf2b-11ed-8b0a-102ab124256a
Ussel;45.548905;2.313835;500;;250;;;;;https://www.lamontagne.fr/tulle-19000/actualites/en-correze-des-manifestants-moins-nombreux-que-le-premier-samedi-de-mobilisation-mais-determines_14275854/
Beaune;47.02603000000001;4.840004;;;;;;;;
Lille;50.62925;3.057256;;;;10000;La Voix du Nord;;;https://www.lavoixdunord.fr/1301475/article/2023-03-11/direct-reforme-des-retraites-nouvelle-journee-de-manifestations-ce-samedi-11
Quimper;47.997542;-4.097899;;;;;;;;
Dijon;47.322047;5.04148;10000;intersyndicale;;;;;;https://www.bienpublic.com/social/2023/03/11/acte-vii-ce-samedi-contre-la-reforme-des-retraites-la-mobilisation-continue-a-dijon-et-ailleurs-en-cote-d-or
Valenciennes;50.357113;3.518332;2250;CGT;1300;1500;La Voix du Nord;;2000 à 2500 selon la CGT.;https://www.lavoixdunord.fr/1301546/article/2023-03-11/mobilisation-en-baisse-valenciennes-contre-la-reforme-des-retraites-1500
Morlaix;48.577613;-3.828228;2500;;;;;;entre 2000 et 3000 selon les syndicats;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-11-mars-des-rassemblements-dans-les-grandes-villes-du-finistere-70aaafbe-bf63-11ed-8b0a-102ab124256a
La Roche-sur-Yon;46.670511;-1.426442;;;;;;;;
Laval;48.0785146;-0.7669906;3600;;;;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-la-manifestation-du-11-mars-a-laval-c6fa8ad6-bff1-11ed-aa33-59ea232e8c60
Montauban;44.0221252;1.3529599;5000;intersyndicale;1000;;;;;
Calais;50.95129;1.858686;;;;;;;;
Douai;50.367874;3.080602;;;950;1100;La Voix du Nord;;;https://www.lavoixdunord.fr/1301475/article/2023-03-11/direct-reforme-des-retraites-nouvelle-journee-de-manifestations-ce-samedi-11
Bourg-en-Bresse;46.204939;5.225621;;;;1000;Le Progrès;;;https://www.leprogres.fr/social/2023/03/10/reforme-des-retraites-suivez-la-nouvelle-journee-de-mobilisation-dans-l-ain
Ancenis;47.365464;-1.177491;1500;intersyndicale;;1200;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-les-manifestations-en-france-7464953e-bfdb-11ed-aa33-59ea232e8c60
Montluçon;46.3415466;2.6019912;1500;;;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/septieme-journee-de-mobilisation-contre-la-reforme-un-million-de-manifestants-attendus-ce-samedi-suivez-notre-direct_14275828/
Figeac;44.608288;2.032871;;;;;;;;
Compiègne;49.417816;2.826145;2000;;1200;;;;;https://www.oisehebdo.fr/2023/03/11/compiegne-gaz-lacrymo-manifestation-retraites/
Digne-les-Bains;44.092193;6.235976;;;;;;;;
Moulins;46.568059;3.334417;800;;;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/septieme-journee-de-mobilisation-contre-la-reforme-un-million-de-manifestants-attendus-ce-samedi-suivez-notre-direct_14275828/
Cahors;44.4475229;1.441989;;;;;;;;
Castres;43.606214;2.241295;;;;;;;;
Rodez;44.349389;2.575986;;;;;;;;
Saint-Malo;48.649337;-2.025674;;;;;;;;
Vesoul;47.619788;6.15428;;;;;;;;
Lisieux;49.145922;0.227849;;;;;;;;
Bergerac;44.853806;0.483392;700;;550;;;;;
Chateaubriant;47.720948;-1.3762239;1000;intersyndicale;;;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-la-manifestation-du-11-mars-nantes-54630222-bf52-11ed-8b0a-102ab124256a
Laon;49.564133;3.61989;;;600;;;;;https://www.lardennais.fr/id464190/article/2023-03-11/600-manifestants-contre-la-reforme-des-retraites-laon
Aurillac;44.930953;2.444997;1000;intersyndicale;800;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/septieme-journee-de-mobilisation-contre-la-reforme-un-million-de-manifestants-attendus-ce-samedi-suivez-notre-direct_14275828/
Fougères;48.3515609;-1.204626;;;;;;;;
Thouars;46.976154;-0.216803;;;;;;;;
Gien;47.6374513;2.7371902;;;;;;;;
Mamoudzou;-12.78064;45.2326964;;;;;;;;
Troyes;48.2924465;4.041115;;;;2000;Est Eclair;;;https://www.lest-eclair.fr/id464218/article/2023-03-11/reforme-des-retraites-manifestation-troyes-ce-samedi-apres-midi
Dunkerque;51.0343684;2.3767763;1400;;;1300;La Voix du Nord;;;https://www.lavoixdunord.fr/1301475/article/2023-03-11/direct-reforme-des-retraites-nouvelle-journee-de-manifestations-ce-samedi-11
Nevers;46.990896;3.162845;;;;;;;;
