Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Abbeville;Abbeville France;50.105467;1.836833;2000;intersyndicale;1200;;Courrier picard;;;https://www.courrier-picard.fr/id398915/article/2023-03-23/retraites-suivez-en-direct-les-actions-contre-la-reforme-en-picardie-jeudi-23
Vannes;Vannes France;47.658236;-2.760847;7000;CGT;3900;;;;;
La Rochelle;La Rochelle France;46.160329;-1.151139;15000;;6000;4700;Sud Ouest;;;
Lons-le-Saunier;Lons-le-Saunier France;46.671361;5.550796;5000;CGT;2200;;;;;
Chartres;Chartres France;48.443854;1.489012;;;;7000;L'Echo Républicain;;;https://www.lechorepublicain.fr/dreux-28100/actualites/reformes-des-retraites-suivez-la-sixeme-journee-de-mobilisation-en-eure-et-loir_14272874/
Saint-Jean-de-Maurienne;Saint-Jean-de-Maurienne France;45.275403;6.344886;1400;;800;1500;Le Dauphiné Libéré;;;"https://www.ledauphine.com/social/2023/03/23/manifs-en-pays-de-savoie-route-bolquee-a-publier
https://www.francebleu.fr/infos/economie-social/direct-reforme-des-retraites-barrage-filtrant-sur-la-voie-rapide-urbaine-de-chambery-suivez-le-direct-2627430"
Ajaccio;Ajaccio France;41.919229;8.738635;;;;;;;;
Bastia;Bastia France;42.697283;9.450881;;;;4000;Corse Matin;;;https://www.corsematin.com/diaporamas/reforme-des-retraites-forte-mobilisation-a-bastia-avec-pres-de-4000-manifestants-2150
Albi;Albi France;43.9250853;2.1486413;22000;intersyndicale;6000;;La Dépêche du Midi;;;https://france3-regions.francetvinfo.fr/occitanie/haute-garonne/toulouse/direct-reforme-des-retraites-les-mobilisations-a-toulouse-et-sa-region-2738394.html
Soissons;Soissons France;49.376636;3.32342;;;;350;L'Union;;;https://www.lunion.fr/id468035/article/2023-03-23/plus-dunecentaine-demanifestants-deux-ronds-points-de-soissons-contre-la-reforme#
Chateau-Thierry;Chateau-Thierry France;49.0459869;3.40262;;;;;;;;
Maubeuge;Maubeuge France;50.280228;3.9674;;;;2500;La Voix du Nord;;;https://www.lavoixdunord.fr/1306640/article/2023-03-23/contre-la-reforme-des-retraites-2-500-personnes-maubeuge-250-fourmies
Thouars;Thouars France;46.976154;-0.216803;;;;;;;;
Foix;Foix France;42.964127;1.605232;18000;intersyndicale;5000;;;;;https://www.ladepeche.fr/2023/03/23/les-manifestants-ne-relachent-pas-la-pression-a-foix-11083981.php
Saint-Omer;Saint-Omer France;50.750115;2.252208;;;;;;;;
Bressuire;Bressuire France;46.84246;-0.492866;;;;;;;;
Ploërmel;Ploërmel France;47.929254;-2.396846;;;;;;;;
Dax;Dax France;43.708608;-1.051945;;;;;;;;
Pont-Audemer;Pont-Audemer France;49.354883;0.5142989;;;;;;;;
Mayenne;Mayenne France;48.303949;-0.618462;;;;;;;;
Le Creusot;Le Creusot France;46.80535099999999;4.4278;;;;;;;;
Montceau-les-Mines;Montceau-les-Mines France;46.67413;4.362979;;;;;;;;
Thonon-les-Bains;Thonon-les-Bains France;46.373565;6.477635;;;;;;;;
Montbard;Montbard France;47.624329;4.337495;;;;;;;;
Vienne;Vienne France;45.524875;4.872931;5000;;2600;;;;;https://www.ledauphine.com/social/2023/03/23/reforme-des-retraites-plusieurs-blocages-pres-du-campus-de-grenoble
La Tour du Pin;La Tour du Pin France;45.564026;5.445327;;;;;;;;
Cluny;Cluny France;46.428968;4.664555;;;;250;Le JSL;;;https://www.lejsl.com/social/2023/03/23/diaporama-pres-de-250-manifestants-pour-s-opposer-a-la-reforme-des-retraites
