Ville;pays;adresse_full;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Arles;France;Arles France;;;1000;;Actu Marseille;;;https://actu.fr/provence-alpes-cote-d-azur/marseille_13055/direct-retraites-greve-blocages-suivez-la-manifestation-du-13-avril-a-marseille_58870028.html
Saintes;France;Saintes France;1500;;1200;;;;;
Mâcon;France;Mâcon France;2000;;900;;;;;https://www.macon-infos.com/index.php?option=com_content&view=article&id=38573:macon-c-est-reparti-pour-le-12eme-rendez-vous-contre-la-reforme-des-retraites&catid=91&lang=fr&Itemid=294
Sète;France;Sète France;3000;;1400;; ;;;https://actu.fr/societe/manifestations-blocages-suivez-la-douzieme-journee-de-mobilisation-en-occitanie_58893541.html
Moulins;France;Moulins France;;;;1500;La Montagne;;;https://www.lamontagne.fr/moulins-03000/actualites/douzieme-manifestation-contre-la-reforme-des-retraites-a-moulins-mobilisation-en-baisse-mais-toujours-forte_14293994/
Mont-de-Marsan;France;Mont-de-Marsan France;1500;intersyndicale;1000;;;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-13-avril-dans-les-landes-suivez-la-manifestation-a-mont-de-marsan-14776492.php
Arras;France;Arras France;5500;CGT;1400;;;;;https://www.lavoixdunord.fr/1315503/article/2023-04-13/direct-retraites-derniere-mobilisation-ce-jeudi-la-veille-du-verdict-du-conseil
Aubenas;France;Aubenas France;;;;;;;;
Gap;France;Gap France;;;;;;;;
Vichy;France;Vichy France;1300;intersyndicale;850;;La Montagne;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/400-000-a-600-000-manifestants-attendus-en-france-pour-cette-12e-journee-de-mobilisation-suivez-notre-direct_14293137/
Draguignan;France;Draguignan France;1500;intersyndicale;700;;BFMTV;;;"https://www.bfmtv.com/marseille/en-direct-greve-du-13-avril-en-provence-alpes-cote-d-azur-quelques-perturbations-dans-les-transports-plusieurs-corteges-prevus-dans-la-region_LN-202304130037.html
https://www.varmatin.com/social/reforme-des-retraites-ultimes-manifestations-dans-les-alpes-maritimes-et-le-var-avant-la-decision-du-conseil-constitutionnel-suivez-cette-journee-en-direct-840782"
Lons-le-Saunier;France;Lons-le-Saunier France;2000;intersyndicale;600;;L'Est Républicain;;;https://www.estrepublicain.fr/social/2023/04/13/reforme-des-retraites-suivez-l-acte-xii-de-la-mobilisation-partout-en-franche-comte
Vienne;France;Vienne France;;;1000;;Le Dauphiné Libéré;;;https://www.ledauphine.com/social/2023/04/13/greves-et-manifs-en-isere-suivez-la-12e-journee-de-mobilisation-en-direct
Dinan;France;Dinan France;;;;;;;;
Troyes;France;Troyes France;1500;intersyndicale;1200;;L'Est Eclair;;;https://www.lest-eclair.fr/id474932/article/2023-04-13/reforme-des-retraites-180-personnes-romilly-sur-seine-le-cortegeva-selancera
Guéret;France;Guéret France;2000;intersyndicale;1400;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/400-000-a-600-000-manifestants-attendus-en-france-pour-cette-12e-journee-de-mobilisation-suivez-notre-direct_14293137/
Montbéliard;France;Montbéliard France;1900;intersyndicale;1500;;France Bleu;;;https://www.francebleu.fr/infos/economie-social/retraites-faible-mobilisation-a-belfort-un-cortege-dissident-defile-7426665
Tulle;France;Tulle France;;;;1000;France 3;;;https://france3-regions.francetvinfo.fr/nouvelle-aquitaine/correze/tulle/manifestation-contre-la-reforme-des-retraites-1000-personnes-mobilisees-a-tulle-2752938.html
Albertville;France;Albertville France;;;;;;;;
Vierzon;France;Vierzon France;2500;;;1250;;;;https://www.francebleu.fr/infos/economie-social/les-opposants-a-la-reforme-des-retraites-dans-le-berry-ont-rendez-vous-pour-une-12e-journee-de-mobilisation-8865572
